SCHL_NR_ID,CNSS_YR,CNSS_SB_ID,SCHOOL_NM,SCHL_DSTRT,ELMNTRY_ST,SCNDRY_SCT,SCHL_YR_PD,DT_PBLCTNR,LATITUDE,LONGITUDE,X,Y
56,2011,5903023,J V Humphries Elem-Secondary,Kootenay Lake,124,99,2016/2017,2017,49.912176,-116.91123,,
57,2011,5903039,Jewett Elementary,Kootenay Lake,9,0,2016/2017,2017,50.233333,-116.98333,,
58,2011,5903004,Kootenay Valley Christian School,Kootenay Lake,20,4,2016/2017,2017,49.108431,-116.52923,,
59,2011,5903015,L V Rogers Secondary,Kootenay Lake,0,735,2016/2017,2017,49.502218,-117.27262,,
60,2011,5903013,Mormon Hills Elementary Secondary,Kootenay Lake,86,69,2016/2017,2017,49.014565,-116.43221,,
61,2011,5903052,Mount Sentinel Secondary,Kootenay Lake,45,243,2016/2017,2017,49.466667,-117.51666,,
62,2011,5903015,Nelson Christian Community School,Kootenay Lake,43,4,2016/2017,2017,49.505855,-117.26885,,
63,2011,5903041,Nelson Waldorf School,Kootenay Lake,134,15,2016/2017,2017,49.458901,-117.28271,,
64,2011,5903043,Prince Charles Secondary,Kootenay Lake,0,481,2016/2017,2017,49.511361,-117.28962,,
65,2011,5903015,REACH,Kootenay Lake,0,22,2016/2017,2017,49.502218,-117.27262,,
66,2011,5903041,Redfish Elementary School,Kootenay Lake,87,0,2016/2017,2017,49.613791,-117.04830,,
67,2011,5903015,Rosemont Elementary School,Kootenay Lake,129,0,2016/2017,2017,49.481019,-117.30293,,
68,2011,5903011,Salmo Elementary School,Kootenay Lake,192,0,2016/2017,2017,49.193333,-117.27861,,
69,2011,5903011,Salmo Secondary,Kootenay Lake,23,106,2016/2017,2017,49.193333,-117.27861,,
70,2011,5903015,South Nelson Elementary,Kootenay Lake,185,0,2016/2017,2017,49.489759,-117.28628,,
71,2011,5903015,St Joseph School,Kootenay Lake,139,6,2016/2017,2017,49.489057,-117.29097,,
72,2011,5903015,Trafalgar Middle School,Kootenay Lake,232,140,2016/2017,2017,49.487164,-117.28783,,
73,2011,5903019,W.E. Graham Community School,Kootenay Lake,54,17,2016/2017,2017,49.767778,-117.46611,,
74,2011,5903015,Wildflower,Kootenay Lake,148,16,2016/2017,2017,49.489110,-117.29320,,
75,2011,5903052,Winlaw Elementary School,Kootenay Lake,95,0,2016/2017,2017,49.616667,-117.56666,,
76,2011,5903807,Yaqan Nukiy School,Kootenay Lake,83,0,2016/2017,2017,49.066109,-116.51565,,
77,2011,5903050,Arrow Lakes Distributed Learning,Arrow Lakes,20,18,2016/2017,2017,50.239167,-117.79750,,
312,2011,5909052,Mt Lehman Elementary,Abbotsford,163,0,2016/2017,2017,49.118283,-122.38227,,
313,2011,5909052,Pacific Christian School,Abbotsford,20,7,2016/2017,2017,49.075054,-122.40308,,
314,2011,5909052,Prince Charles Elementary,Abbotsford,296,0,2016/2017,2017,49.064502,-122.24424,,
315,2011,5909052,Rick Hansen Secondary,Abbotsford,0,591,2016/2017,2017,49.067600,-122.36116,,
316,2011,5909052,Robert Bateman Secondary,Abbotsford,0,961,2016/2017,2017,49.068178,-122.25370,,
317,2011,5909052,Ross Elementary,Abbotsford,215,0,2016/2017,2017,49.047253,-122.40376,,
318,2011,5909052,Sandy Hill Elementary,Abbotsford,584,0,2016/2017,2017,49.071444,-122.24935,,
319,2011,5909052,South Poplar Traditional Elementary,Abbotsford,293,0,2016/2017,2017,49.016847,-122.31670,,
320,2011,5909052,St James,Abbotsford,219,0,2016/2017,2017,49.052375,-122.36007,,
321,2011,5909052,St John Brebeuf,Abbotsford,0,409,2016/2017,2017,49.052086,-122.36008,,
322,2011,5909052,Ten Broeck Elementary,Abbotsford,307,0,2016/2017,2017,49.048775,-122.34495,,
323,2011,5909052,Terry Fox Elementary,Abbotsford,292,0,2016/2017,2017,49.057768,-122.30031,,
324,2011,5909052,Upper Sumas Elementary,Abbotsford,213,0,2016/2017,2017,49.017118,-122.21869,,
325,2011,5909052,W J Mouat Secondary,Abbotsford,0,1349,2016/2017,2017,49.058796,-122.33083,,
326,2011,5909052,West Coast Adventist DL School,Abbotsford,41,46,2016/2017,2017,49.050000,-122.28333,,
327,2011,5909052,William A. Fraser Middle School,Abbotsford,444,269,2016/2017,2017,49.045043,-122.26334,,
328,2011,5909052,Yale Secondary,Abbotsford,0,1300,2016/2017,2017,49.048370,-122.26577,,
329,2011,5915001,Advance Alternate,Langley,0,23,2016/2017,2017,49.053850,-122.48117,,
330,2011,5915001,Aldergrove Christian Academy,Langley,20,2,2016/2017,2017,49.075689,-122.53772,,
331,2011,5915001,Aldergrove Community Secondary,Langley,0,618,2016/2017,2017,49.053850,-122.48117,,
332,2011,5915001,Alex Hope Elementary,Langley,598,0,2016/2017,2017,49.156677,-122.63602,,
333,2011,5915002,Alice Brown Elementary,Langley,230,0,2016/2017,2017,49.082188,-122.66872,,
